Station N.,Date,Time,Magnet ID,B (mT),Zero (mT),Numero de Caja,B Absoluto (mT),Medicion Numero
1,2025-01-09,12:28:40,347,9.6,6.16,B1,,
1,2025-01-09,12:29:16,348,9.58,6.16,B1,,
1,2025-01-09,12:30:11,349,9.62,6.16,B1,,
1,2025-01-09,12:30:27,350,9.42,6.16,B1,,
1,2025-01-09,12:31:37,351,9.62,6.16,B2,,
1,2025-01-09,12:31:59,352,9.5,6.16,B2,,
1,2025-01-09,12:32:16,353,9.5,6.16,B2,,
1,2025-01-09,12:32:41,354,9.64,6.16,B2,,
1,2025-01-09,12:33:04,355,9.48,6.16,B2,,
1,2025-01-09,12:33:31,356,9.64,6.16,B2,,
1,2025-01-09,12:34:11,357,9.68,6.16,B2,,
1,2025-01-09,12:34:35,358,9.46,6.16,B2,,
1,2025-01-09,12:34:52,359,9.46,6.16,B2,,
1,2025-01-09,12:35:45,360,9.54,6.16,B2,,
1,2025-01-09,12:37:49,361,9.52,6.16,B2,,
1,2025-01-09,12:38:05,362,9.52,6.16,B2,,
1,2025-01-09,12:38:29,363,9.46,6.16,B2,,
1,2025-01-09,12:38:52,364,9.62,6.16,B2,,
1,2025-01-09,12:39:24,365,9.38,6.16,B2,,
1,2025-01-09,12:39:54,366,9.5,6.16,B2,,
1,2025-01-09,12:40:13,367,9.52,6.16,B2,,
1,2025-01-09,12:41:18,368,9.5,6.16,B2,,
1,2025-01-09,12:41:39,369,9.5,6.16,B2,,
1,2025-01-09,12:42:06,370,9.44,6.16,B2,,
1,2025-01-09,12:43:49,371,9.5,6.16,B3,,
1,2025-01-09,12:44:05,372,9.44,6.16,B3,,
1,2025-01-09,12:44:29,373,9.56,6.16,B3,,
1,2025-01-09,12:44:51,374,9.46,6.16,B3,,
1,2025-01-09,12:45:12,375,9.54,6.16,B3,,
1,2025-01-09,12:45:35,376,9.46,6.16,B3,,
1,2025-01-09,12:45:54,377,9.42,6.16,B3,,
1,2025-01-09,12:46:18,378,9.52,6.16,B3,,
1,2025-01-09,12:46:49,379,9.38,6.16,B3,,
1,2025-01-09,12:47:18,380,9.54,6.16,B3,,
1,2025-01-09,12:48:44,381,9.54,6.16,B3,,
1,2025-01-09,12:48:54,382,9.52,6.16,B3,,
1,2025-01-09,12:49:42,383,9.58,6.16,B3,,
1,2025-01-09,12:50:05,384,9.58,6.16,B3,,
1,2025-01-09,12:50:24,385,9.52,6.16,B3,,
1,2025-01-09,12:50:53,386,9.52,6.16,B3,,
1,2025-01-09,12:51:26,387,9.58,6.16,B3,,
1,2025-01-09,12:51:47,388,9.4,6.16,B3,,
